Advertising,Public Relations,Digital Marketing,Marketing Research,Marketing Technology,Agency Fees,Training and Development,Miscellaneous,Sales
1000,2000,3000,6000,7000,8000,10000,11000,1000
2000,4000,6000,12000,14000,16000,20000,22000,20000
3000,6000,9000,18000,21000,24000,30000,33000,35000
4000,8000,12000,24000,28000,32000,40000,44000,42000
5000,10000,15000,30000,35000,40000,50000,55000,48000
6000,12000,18000,36000,42000,48000,60000,66000,53000
7000,14000,21000,42000,49000,56000,70000,77000,57000
8000,16000,24000,48000,56000,64000,80000,88000,61000
9000,18000,27000,54000,63000,72000,90000,99000,64000
10000,20000,30000,60000,70000,80000,100000,110000,66000
1200,1900,2900,6100,7100,8100,10100,11100,1200
1000,2000,3000,6000,7000,8000,10000,11000,1200
2200,4200,6400,13000,15200,17400,21800,24000,22000
3900,6700,10100,20400,23800,27200,34000,37400,35000
5100,8800,13300,26500,30900,35300,44100,48500,42000
6300,10900,16500,32600,38000,43400,54200,59600,48000
7500,13000,19700,38700,45100,51500,64300,70700,53000
8700,15100,22900,44800,52200,59600,74400,81800,57000
9900,17200,26100,50900,59300,67700,84500,92900,61000
11100,19300,29300,57000,66400,75800,94600,104000,64000
12300,21400,32500,63100,73500,83900,104700,114100,66000
13500,23500,35700,69200,80600,92000,114800,124200,68000
14700,25600,38900,75300,87700,100100,124900,134300,70000
15900,27700,42100,81400,94800,108200,135000,144400,72000
17100,29800,45300,87500,101900,116300,145100,154500,74000
18300,31900,48500,93600,109000,124400,154200,164600,76000
19500,34000,51700,99700,116100,132500,163300,174700,78000
20700,36100,54900,105800,122200,140600,172400,184800,80000
21900,38200,58100,111900,128300,148700,181500,194900,82000
23100,40300,61300,118000,134400,156800,190600,205000,84000
1300,1600,2800,6400,7100,8400,10900,11500,1350
2500,4000,6200,12200,14400,16600,21000,23100,22500
3700,5700,8700,18100,21400,24800,31000,34000,33200
5100,7400,11100,24400,29000,33400,41900,46000,42000
6400,9200,13600,30400,35700,41000,51000,56000,48000
7600,11000,16200,36400,42900,49600,61300,67500,53000
8900,12700,18900,42400,50100,58200,71500,79000,57000
10100,14400,21500,48400,57300,66800,81800,90500,61000
11400,16100,24200,54400,64500,74800,92100,102000,64000
12600,17800,26800,60400,71700,82800,102400,113500,66000
13900,19500,29500,66400,78900,90800,112700,125000,68000
15100,21200,32200,72400,86100,98800,122000,136500,70000
16400,22900,34800,78400,93300,106700,131300,148000,72000
17600,24600,37500,84400,100500,114600,140600,159500,74000
18900,26300,40200,90400,107700,122500,149900,171000,76000
20100,28000,42900,96400,114900,130400,159200,182500,78000
21400,29700,45500,102400,122100,138300,168500,194000,80000
22600,31400,48200,108400,129300,146200,177800,205500,82000
23800,33100,50900,114400,136500,154100,187200,217000,84000
25100,34800,53600,120400,143700,162000,196600,228500,86000
26300,36500,56300,126400,150900,169900,205000,240000,88000
27500,38200,59000,132400,158100,177800,213400,251500,90000
28800,39900,61700,138400,165300,185700,221800,263000,92000
30000,41600,64400,144400,172500,193600,230200,274500,94000
31300,43300,67100,150400,179700,201400,238600,286000,96000
32500,45000,69800,156400,186900,209300,247000,297500,98000
33800,46700,72500,162400,194100,217200,255400,309000,100000
1350,1650,2850,6450,7150,8450,11050,11550,1400
2550,4200,6350,12350,14500,16500,21150,23250,22300
3850,5700,8650,18000,21200,24500,31200,34650,33650
5300,7350,11200,24300,28550,32500,41350,45850,42250
6650,9350,13650,30650,35700,40950,51400,56250,48050
7850,11250,16400,36600,42650,48800,61300,67400,53050
9200,12950,19150,42300,49400,56750,71150,78550,57050
10450,14650,21900,47950,56050,64800,80900,89450,61050
11700,16350,24650,53600,62700,72850,90650,100000,64050
12950,18050,27400,59250,69350,80900,100400,110550,66050
14150,19750,30050,64900,76050,88900,109250,120550,68050
15400,21450,32700,70550,82750,96850,118100,130500,70050
16650,23150,35350,76200,89450,104800,127950,140450,72050
17900,24850,38000,81850,96150,112750,137800,150400,74050
19150,26550,40650,87500,102850,120700,147650,160350,76050
20400,28250,43300,93150,109550,128650,157500,170300,78050
21650,29950,45950,98800,116250,136600,167350,180250,80050
22900,31650,48600,104450,122950,144550,177200,190200,82050
24150,33350,51250,110100,129650,152500,186050,200150,84050
25400,35050,53900,115750,136350,160450,194900,210100,86050
26650,36750,56550,121400,143050,168400,203750,220050,88050
27900,38450,59200,127050,149750,176350,212600,230000,90050
29150,40150,61850,132700,156450,184300,221450,239950,92050
30400,41850,64500,138350,163150,192250,230300,249900,94050
31650,43550,67150,144000,169850,200200,239150,259850,96050
32900,45250,69800,149650,176550,208150,247000,269800,98050
34150,46950,72450,154300,183250,216100,254850,279750,100050
35400,48650,75100,159050,189950,224050,262700,289700,102050
36650,50350,77750,163700,196650,232000,270550,299650,104050
37900,52050,80400,168450,203350,239950,278400,309600,106050
39150,53750,83050,173100,210050,247900,286250,319550,108050
40400,55450,85700,177750,216750,255850,294100,329500,110050
41650,57150,88350,182500,223450,263800,301950,339450,112050
42900,58850,91000,187250,230150,271750,309800,349400,114050
44150,60550,93650,192000,236850,279700,317650,359350,116050
45400,62250,96300,196650,243550,287650,325500,369300,118050
46650,63950,98950,201300,250250,295600,333350,379250,120050
2520,4215,6372,12392,14802,16112,20989,22571,22300
3832,5756,8752,18053,21782,24101,30784,34093,33650
5312,7294,11102,24185,28291,31643,40471,44832,42250
6621,9332,13983,30038,35492,39312,50484,56412,48050
7901,11427,16395,35641,42013,46412,59283,66491,53050
9223,12932,19654,42731,50592,55503,69642,77401,57050
10601,14639,21871,48125,56241,61901,77719,86100,61050
11871,16372,23820,53122,62194,68894,85892,95300,64050
13244,18108,25900,57832,67581,74928,94342,104920,66050
14501,19853,27911,63092,73712,81972,102457,113498,68050
15780,21682,29982,68483,79824,88834,111234,122445,70050
17035,23321,32120,73491,85839,95501,119332,131103,72050
18293,25082,34389,78401,91782,102839,127322,139401,74050
19551,26812,36491,83401,97701,109241,135552,147235,76050
20803,28649,38613,88391,103612,115693,144125,155402,78050
22052,30498,40732,93302,109511,122854,152812,163567,80050
23309,32283,42849,98212,115452,129481,161452,171234,82050
24560,34128,44903,103122,121143,136327,170341,179362,84050
25813,35992,46921,108532,126582,143491,179243,187463,86050
27065,37842,49030,113942,132722,150793,188432,195502,88050
28320,39692,51042,119352,138352,158432,197432,203562,90050
29572,41529,53092,124762,144382,165032,206721,211482,92050
30822,43403,55142,130172,150422,171872,216243,219632,94050
32079,45298,57102,135582,156452,178712,225432,227832,96050
33329,47184,59182,140992,162282,185132,234132,235782,98050
1428,1724,2969,6825,7709,9124,10873,11749,1458
2657,4347,6605,12234,15108,16884,21569,23409,22358
3801,6082,9199,18382,22301,24498,32089,34762,33248
5103,7918,11831,23748,27909,31498,39934,43877,42098
6582,9643,14622,28762,33929,38872,49327,53542,48296
7872,11822,17183,35297,40847,46487,57502,63056,53527
9075,13834,20075,41739,48106,55187,68256,74692,58929
10467,15843,23074,47679,54529,63048,78049,85629,61837
11746,17879,25884,53986,61852,71325,88194,97159,64389
13025,19931,28693,60258,68876,79573,98261,108929,66574
14315,21962,31627,66571,76103,87852,108289,120029,68498
15590,24005,34614,72509,83468,96105,117394,129569,70049
16875,26041,37512,78429,90746,104457,127504,141109,71937
18157,28097,40489,84201,98125,112784,137278,151883,73809
