Advertising,Digital Marketing,Sales,Marketing Research,Agency Fees,Training and Development,Promotions and Sponsorships
107.00,176.00,292.00,116.00,69.00,38.00,962.00
75.00,135.00,225.00,90.00,60.00,29.00,1148.00
122.00,195.00,325.00,130.00,73.00,42.00,1134.00
105.00,174.00,289.00,115.00,69.00,37.00,1166.00
104.00,135.00,223.00,90.00,56.00,29.00,1148.00
104.00,135.00,223.00,90.00,56.00,29.00,1139.00
135.00,155.00,275.00,103.00,64.00,33.00,1130.00
171.00,188.00,334.00,125.00,73.00,41.00,1119.00
181.00,195.00,346.00,130.00,73.00,42.00,1134.00
15.00,31.00,51.00,20.00,16.00,5.00,804.00
33.00,54.00,90.00,36.00,21.00,10.00,809.00
17.00,28.00,47.00,19.00,15.00,5.00,811.00
27.00,36.00,64.00,24.00,18.00,6.00,806.00
49.00,54.00,96.00,36.00,21.00,10.00,809.00
-2.00,75.00,128.00,53.00,77.00,48.00,597.00
1.00,84.00,144.00,60.00,83.00,54.00,606.00
2.00,86.00,147.00,61.00,84.00,55.00,613.00
11.00,105.00,201.00,75.00,103.00,68.00,522.00
4.00,90.00,165.00,65.00,87.00,58.00,513.00
0.00,87.00,160.00,63.00,87.00,57.00,506.00
0.00,87.00,160.00,63.00,87.00,57.00,521.00
4.00,90.00,153.00,64.00,81.00,58.00,551.00
3.00,87.00,159.00,62.00,85.00,56.00,612.00
-3.00,76.00,140.00,55.00,78.00,49.00,627.00
29.00,75.00,130.00,55.00,46.00,18.00,305.00
22.00,65.00,113.00,48.00,43.00,15.00,334.00
16.00,57.00,100.00,43.00,41.00,14.00,388.00
16.00,56.00,98.00,42.00,40.00,13.00,384.00
47.00,75.00,145.00,55.00,47.00,18.00,312.00
39.00,71.00,132.00,53.00,45.00,17.00,299.00
22.00,56.00,97.00,42.00,37.00,13.00,384.00
31.00,64.00,118.00,47.00,43.00,15.00,375.00
39.00,71.00,132.00,53.00,45.00,17.00,380.00
31.00,65.00,121.00,49.00,44.00,16.00,392.00
39.00,104.00,189.00,85.00,65.00,32.00,476.00
32.00,93.00,169.00,76.00,61.00,28.00,580.00
50.00,98.00,190.00,80.00,64.00,30.00,494.00
36.00,83.00,160.00,67.00,59.00,25.00,599.00
50.00,98.00,189.00,79.00,64.00,30.00,593.00
46.00,89.00,163.00,74.00,43.00,22.00,949.00
68.00,90.00,176.00,75.00,44.00,23.00,956.00
52.00,80.00,147.00,68.00,39.00,21.00,998.00
49.00,74.00,145.00,62.00,41.00,19.00,1059.00
52.00,77.00,151.00,65.00,42.00,20.00,1053.00
53.00,76.00,148.00,63.00,40.00,19.00,1075.00
43.00,68.00,115.00,47.00,25.00,13.00,821.00
32.00,52.00,87.00,35.00,20.00,9.00,894.00
28.00,49.00,83.00,34.00,21.00,9.00,890.00
41.00,64.00,108.00,44.00,23.00,12.00,886.00
46.00,55.00,91.00,37.00,20.00,10.00,876.00
38.00,77.00,130.00,53.00,39.00,16.00,338.00
48.00,89.00,150.00,61.00,41.00,19.00,325.00
56.00,99.00,167.00,68.00,43.00,21.00,438.00
59.00,77.00,145.00,53.00,41.00,16.00,338.00
80.00,100.00,180.00,69.00,46.00,22.00,340.00
91.00,114.00,191.00,79.00,45.00,25.00,425.00
15.00,128.00,220.00,92.00,113.00,83.00,541.00
16.00,132.00,227.00,95.00,116.00,86.00,532.00
17.00,132.00,227.00,95.00,115.00,86.00,554.00
24.00,154.00,264.00,110.00,130.00,100.00,665.00
34.00,184.00,317.00,133.00,150.00,120.00,705.00
24.00,132.00,242.00,95.00,116.00,86.00,532.00
33.00,154.00,262.00,110.00,121.00,100.00,665.00
43.00,173.00,294.00,124.00,132.00,112.00,717.00
24.00,130.00,238.00,93.00,114.00,84.00,692.00
25.00,134.00,245.00,96.00,117.00,87.00,683.00
30.00,145.00,266.00,105.00,125.00,95.00,716.00
0.00,87.00,150.00,63.00,87.00,57.00,506.00
-8.00,61.00,105.00,44.00,69.00,39.00,617.00
0.00,84.00,144.00,60.00,84.00,54.00,606.00
1.00,86.00,147.00,61.00,85.00,55.00,613.00
0.00,87.00,160.00,63.00,87.00,57.00,521.00
3.00,90.00,153.00,64.00,82.00,58.00,551.00
3.00,87.00,159.00,62.00,85.00,56.00,612.00
0.00,84.00,153.00,60.00,84.00,54.00,606.00
16.00,72.00,130.00,58.00,56.00,22.00,338.00
18.00,74.00,133.00,59.00,56.00,22.00,403.00
20.00,66.00,134.00,54.00,56.00,20.00,312.00
18.00,65.00,126.00,53.00,53.00,20.00,306.00
22.00,70.00,135.00,57.00,55.00,21.00,313.00
19.00,67.00,129.00,54.00,54.00,20.00,391.00
39.00,81.00,150.00,69.00,42.00,21.00,965.00
39.00,82.00,151.00,69.00,43.00,21.00,965.00
47.00,92.00,170.00,78.00,45.00,24.00,995.00
71.00,123.00,226.00,103.00,52.00,31.00,1073.00
53.00,99.00,182.00,83.00,46.00,25.00,1063.00
45.00,89.00,164.00,75.00,44.00,23.00,1063.00
59.00,84.00,165.00,71.00,44.00,22.00,950.00
58.00,82.00,161.00,69.00,43.00,21.00,965.00
65.00,92.00,168.00,78.00,42.00,24.00,995.00
79.00,99.00,194.00,83.00,46.00,25.00,1063.00
115.00,186.00,310.00,124.00,71.00,40.00,961.00
121.00,195.00,325.00,130.00,74.00,42.00,945.00
115.00,186.00,309.00,123.00,71.00,40.00,932.00
98.00,165.00,275.00,110.00,67.00,36.00,1020.00
79.00,140.00,232.00,92.00,61.00,30.00,1102.00
115.00,188.00,313.00,125.00,73.00,41.00,1119.00
122.00,195.00,325.00,130.00,73.00,42.00,1134.00
180.00,195.00,346.00,130.00,74.00,42.00,945.00
157.00,176.00,311.00,116.00,70.00,38.00,962.00
181.00,195.00,346.00,130.00,73.00,42.00,1134.00
36.00,59.00,99.00,40.00,23.00,11.00,793.00
50.00,59.00,98.00,40.00,21.00,11.00,793.00
62.00,105.00,167.00,62.00,43.00,19.00,346.00
57.00,99.00,159.00,60.00,42.00,18.00,329.00
98.00,109.00,185.00,65.00,43.00,20.00,372.00
57.00,78.00,124.00,47.00,34.00,14.00,371.00
80.00,94.00,161.00,57.00,40.00,17.00,349.00
41.00,81.00,137.00,56.00,40.00,17.00,382.00
24.00,59.00,99.00,40.00,35.00,12.00,443.00
20.00,54.00,90.00,36.00,34.00,11.00,458.00
34.00,71.00,120.00,49.00,37.00,15.00,454.00
75.00,89.00,168.00,61.00,43.00,19.00,390.00
56.00,77.00,137.00,52.00,39.00,16.00,376.00
45.00,68.00,121.00,46.00,38.00,14.00,388.00
33.00,59.00,98.00,40.00,33.00,12.00,443.00
28.00,54.00,89.00,36.00,32.00,11.00,458.00
50.00,71.00,128.00,49.00,37.00,15.00,454.00
32.00,58.00,103.00,45.00,26.00,14.00,605.00
34.00,62.00,110.00,48.00,28.00,15.00,599.00
34.00,62.00,110.00,48.00,28.00,15.00,593.00
36.00,65.00,115.00,50.00,29.00,16.00,587.00
17.00,39.00,69.00,30.00,22.00,9.00,581.00
21.00,43.00,76.00,33.00,22.00,10.00,577.00
10.00,29.00,51.00,22.00,19.00,7.00,573.00
55.00,62.00,123.00,48.00,28.00,15.00,623.00
47.00,62.00,109.00,48.00,26.00,15.00,599.00
50.00,65.00,114.00,50.00,27.00,16.00,587.00
15.00,29.00,54.00,22.00,19.00,7.00,573.00
19.00,32.00,60.00,24.00,19.00,7.00,567.00
-84.00,-21.00,106.00,127.00,63.00,40.00,1215.00
-138.00,-67.00,87.00,154.00,71.00,49.00,1832.00
-3.00,50.00,162.00,95.00,55.00,30.00,608.00
-131.00,-25.00,109.00,127.00,63.00,40.00,2947.00
276.00,428.00,712.00,284.00,152.00,99.00,2108.00
410.00,428.00,759.00,284.00,152.00,99.00,2108.00
88.00,114.00,201.00,75.00,55.00,24.00,659.00
25.00,168.00,289.00,121.00,143.00,109.00,788.00
216.00,329.00,576.00,247.00,113.00,81.00,1744.00
321.00,329.00,614.00,247.00,113.00,81.00,1744.00
148.00,137.00,247.00,95.00,37.00,26.00,809.00
196.00,295.00,546.00,251.00,99.00,77.00,1268.00
291.00,295.00,582.00,251.00,99.00,77.00,1268.00
26.00,51.00,90.00,39.00,25.00,12.00,541.00
120.00,163.00,276.00,113.00,43.00,31.00,897.00
79.00,111.00,187.00,76.00,32.00,21.00,580.00
192.00,288.00,532.00,244.00,96.00,75.00,1213.00
112.00,152.00,256.00,104.00,40.00,29.00,952.00
133.00,179.00,302.00,123.00,46.00,34.00,915.00
184.00,178.00,298.00,123.00,42.00,34.00,941.00
48.00,73.00,123.00,50.00,25.00,14.00,589.00
26.00,51.00,84.00,34.00,30.00,10.00,428.00
83.00,117.00,198.00,81.00,34.00,22.00,460.00
84.00,80.00,150.00,54.00,27.00,15.00,456.00
123.00,124.00,208.00,86.00,33.00,24.00,499.00
-224.00,-69.00,66.00,135.00,155.00,122.00,3641.00
-304.00,-59.00,70.00,125.00,146.00,113.00,1382.00
-392.00,-95.00,77.00,173.00,176.00,156.00,2615.00
316.00,369.00,647.00,284.00,130.00,107.00,1565.00
-238.00,-139.00,112.00,251.00,99.00,77.00,3948.00
138.00,185.00,312.00,127.00,47.00,35.00,1007.00
190.00,185.00,309.00,127.00,44.00,35.00,1007.00
187.00,283.00,543.00,260.00,96.00,72.00,1271.00
646.00,526.00,815.00,239.00,91.00,66.00,1197.00
364.00,387.00,687.00,258.00,142.00,90.00,2067.00
508.00,546.00,902.00,364.00,166.00,127.00,2617.00
349.00,374.00,664.00,249.00,139.00,87.00,2580.00
47.00,101.00,168.00,67.00,54.00,22.00,677.00
203.00,312.00,546.00,234.00,109.00,77.00,1310.00
220.00,336.00,589.00,253.00,116.00,83.00,1686.00
292.00,304.00,567.00,228.00,107.00,75.00,1691.00
84.00,117.00,198.00,81.00,33.00,22.00,984.00
165.00,253.00,467.00,214.00,88.00,66.00,923.00
174.00,265.00,490.00,225.00,91.00,69.00,1272.00
52.00,68.00,119.00,52.00,28.00,17.00,554.00
128.00,172.00,290.00,118.00,44.00,33.00,930.00
230.00,266.00,527.00,266.00,92.00,74.00,1819.00
230.00,266.00,527.00,266.00,92.00,74.00,1797.00
197.00,295.00,546.00,251.00,98.00,77.00,1268.00
70.00,109.00,193.00,84.00,39.00,27.00,603.00
26.00,51.00,90.00,39.00,25.00,12.00,541.00
52.00,79.00,133.00,54.00,27.00,15.00,601.00
119.00,112.00,201.00,77.00,32.00,21.00,449.00
33.00,80.00,140.00,60.00,47.00,19.00,329.00
31.00,77.00,134.00,57.00,46.00,18.00,323.00
28.00,63.00,109.00,47.00,40.00,15.00,420.00
24.00,60.00,101.00,41.00,36.00,13.00,435.00
