Advertising,Digital Marketing,Sales,Marketing Research,Agency Fees,Training and Development,Promotions and Sponsorships
107,176,292,116,69,38,962
75,135,225,90,60,29,1148
122,195,325,130,73,42,1134
105,174,289,115,69,37,1166
104,135,223,90,56,29,1148
104,135,223,90,56,29,1139
135,155,275,103,64,33,1130
171,188,334,125,73,41,1119
181,195,346,130,73,42,1134
15,31,51,20,16,5,804
33,54,90,36,21,10,809
17,28,47,19,15,5,811
27,36,64,24,18,6,806
49,54,96,36,21,10,809
-2,75,128,53,77,48,597
1,84,144,60,83,54,606
2,86,147,61,84,55,613
11,105,201,75,103,68,522
4,90,165,65,87,58,513
0,87,160,63,87,57,506
0,87,160,63,87,57,521
4,90,153,64,81,58,551
3,87,159,62,85,56,612
-3,76,140,55,78,49,627
29,75,130,55,46,18,305
22,65,113,48,43,15,334
16,57,100,43,41,14,388
16,56,98,42,40,13,384
47,75,145,55,47,18,312
39,71,132,53,45,17,299
22,56,97,42,37,13,384
31,64,118,47,43,15,375
39,71,132,53,45,17,380
31,65,121,49,44,16,392
39,104,189,85,65,32,476
32,93,169,76,61,28,580
50,98,190,80,64,30,494
36,83,160,67,59,25,599
50,98,189,79,64,30,593
46,89,163,74,43,22,949
68,90,176,75,44,23,956
52,80,147,68,39,21,998
49,74,145,62,41,19,1059
52,77,151,65,42,20,1053
53,76,148,63,40,19,1075
43,68,115,47,25,13,821
32,52,87,35,20,9,894
28,49,83,34,21,9,890
41,64,108,44,23,12,886
46,55,91,37,20,10,876
38,77,130,53,39,16,338
48,89,150,61,41,19,325
56,99,167,68,43,21,438
59,77,145,53,41,16,338
80,100,180,69,46,22,340
91,114,191,79,45,25,425
15,128,220,92,113,83,541
16,132,227,95,116,86,532
17,132,227,95,115,86,554
24,154,264,110,130,100,665
34,184,317,133,150,120,705
24,132,242,95,116,86,532
33,154,262,110,121,100,665
43,173,294,124,132,112,717
24,130,238,93,114,84,692
25,134,245,96,117,87,683
30,145,266,105,125,95,716
0,87,150,63,87,57,506
-8,61,105,44,69,39,617
0,84,144,60,84,54,606
1,86,147,61,85,55,613
0,87,160,63,87,57,521
3,90,153,64,82,58,551
3,87,159,62,85,56,612
0,84,153,60,84,54,606
16,72,130,58,56,22,338
18,74,133,59,56,22,403
20,66,134,54,56,20,312
18,65,126,53,53,20,306
22,70,135,57,55,21,313
19,67,129,54,54,20,391
39,81,150,69,42,21,965
39,82,151,69,43,21,965
47,92,170,78,45,24,995
71,123,226,103,52,31,1073
53,99,182,83,46,25,1063
45,89,164,75,44,23,1063
59,84,165,71,44,22,950
58,82,161,69,43,21,965
65,92,168,78,42,24,995
79,99,194,83,46,25,1063
115,186,310,124,71,40,961
121,195,325,130,74,42,945
115,186,309,123,71,40,932
98,165,275,110,67,36,1020
79,140,232,92,61,30,1102
115,188,313,125,73,41,1119
122,195,325,130,73,42,1134
180,195,346,130,74,42,945
157,176,311,116,70,38,962
181,195,346,130,73,42,1134
36,59,99,40,23,11,793
50,59,98,40,21,11,793
62,105,167,62,43,19,346
57,99,159,60,42,18,329
98,109,185,65,43,20,372
57,78,124,47,34,14,371
80,94,161,57,40,17,349
41,81,137,56,40,17,382
24,59,99,40,35,12,443
20,54,90,36,34,11,458
34,71,120,49,37,15,454
75,89,168,61,43,19,390
56,77,137,52,39,16,376
